t,qw,qx,qy,qz
5.0120000,0.7490271,0.1485142,-0.1915823,0.6166021
5.0360000,0.7306280,0.1341422,-0.1898404,0.6419885
5.0560000,0.7146558,0.1220366,-0.1880582,0.6625770
5.0720000,0.7014697,0.1122795,-0.1864176,0.6786620
5.0920000,0.6844775,0.1000132,-0.1841252,0.6982735
5.1120000,0.6669074,0.0876993,-0.1816289,0.7173244
5.1280000,0.6524511,0.0778130,-0.1794782,0.7321477
5.1480000,0.6339055,0.0654094,-0.1765833,0.7501358
5.1720000,0.6109816,0.0504658,-0.1727914,0.7709071
5.1920000,0.5913540,0.0379684,-0.1693631,0.7875119
5.2080000,0.5753183,0.0279490,-0.1664396,0.8003284
5.2320000,0.5507229,0.0129087,-0.1617488,0.8187643
5.2480000,0.5339763,0.0028868,-0.1584199,0.8305204
5.2680000,0.5126677,-0.0096295,-0.1540338,0.8446021
5.2880000,0.4909647,-0.0221227,-0.1493927,0.8579895
5.3040000,0.4733303,-0.0320929,-0.1455003,0.8681924
5.3200000,0.4554710,-0.0420378,-0.1414530,0.8779351
5.3480000,0.4236952,-0.0593624,-0.1339991,0.8938695
5.3680000,0.4006608,-0.0716680,-0.1283681,0.9043541
5.3880000,0.3773318,-0.0838937,-0.1225035,0.9140982
5.4080000,0.3537284,-0.0960264,-0.1164102,0.9230947
5.4280000,0.3298577,-0.1080588,-0.1101260,0.9313375
5.4480000,0.3057292,-0.1199939,-0.1037206,0.9388148
5.4720000,0.2764627,-0.1341685,-0.0958551,0.9467729
5.4920000,0.2518725,-0.1458477,-0.0891197,0.9525473
5.5160000,0.2221310,-0.1596733,-0.0808075,0.9584531
5.5360000,0.1971574,-0.1710082,-0.0736843,0.9625257
5.5560000,0.1720339,-0.1821488,-0.0663818,0.9658259
5.5880000,0.1315863,-0.1995111,-0.0543173,0.9694999
5.6040000,0.1113015,-0.2079461,-0.0481012,0.9705960
5.6280000,0.0807980,-0.2202602,-0.0385648,0.9713238
5.6480000,0.0553151,-0.2301914,-0.0304347,0.9710952
5.6680000,0.0297850,-0.2397993,-0.0221475,0.9701127
5.6840000,0.0093354,-0.2472405,-0.0154155,0.9687865
5.7000000,0.0111223,0.2544560,0.0085993,-0.9669822
5.7200000,0.0366937,0.2631475,-0.0000232,-0.9640576
5.7400000,0.0622407,0.2714593,-0.0087546,-0.9603954
5.7680000,0.0979387,0.2824741,-0.0210905,-0.9540291
5.7920000,0.1284303,0.2913918,-0.0316806,-0.9474137
5.8120000,0.1537423,0.2984310,-0.0405237,-0.9410952
5.8360000,0.1839716,0.3063748,-0.0511591,-0.9325619
5.8560000,0.2090156,0.3125501,-0.0600453,-0.9246726
